1,"class Base {
    public void show() {
       System.out.println(""Base::show() called"");
    }
}
  
class Derived extends Base {
    public void show() {
       System.out.println(""Derived::show() called"");
    }
}
  
public class Main {
    public static void main(String[] args) {
        Base b = new Derived();;
        b.show();
    }
}",Derived::show() called,Base::show() called,Compiler Error,Runtime Error,Derived::show() called
2,"class Base {
    final public void show() {
       System.out.println(""Base::show() called"");
    }
}
  
class Derived extends Base {
    public void show() {
       System.out.println(""Derived::show() called"");
    }
}
  
class Main {
    public static void main(String[] args) {
        Base b = new Derived();;
        b.show();
    }
}",Base::show() called,Derived::show() called,Compiler Error,Runtime Error,Compiler Error
3,"Which of the following is true about inheritance in Java?

1) Private methods are final.
2) Protected members are accessible within a package and 
   inherited classes outside the package.
3) Protected methods are final.
4) We cannot override private methods. ","1, 2 and 4",Only 1 and 2,"1, 2 and 3","2, 3 and 4","1, 2 and 4"
4,"class Base {
public void Print() {
System.out.println(""Base"");
}
}

class Derivedextends Base {
public void Print() {
System.out.println(""Derived"");
}
}

class Main{
public static void DoPrint( Base o ) {
o.Print();
}
public static void main(String[] args) {
Base x =new Base();
Base y =new Derived();
Derived z =new Derived();
DoPrint(x);
DoPrint(y);
DoPrint(z);
}
}","Base
Derived
Derived","Base
Derived
Base","Base
Derived
Base",Compiler Error,"Base
Derived
Derived"
5,"Which of the following is true about inheritance in Java. 1) In Java all classes inherit from the Object class directly or indirectly. The Object class is root of all classes. 2) Multiple inheritance is not allowed in Java. 3) Unlike C++, there is nothing like type of inheritance in Java where we can specify whether the inheritance is protected, public or private.","1, 2 and 3",1 and 2,2 and 3,1 and 3,"1, 2 and 3"
6,"Which of the following is/are true about packages in Java?
1) Every class is part of some package. 
2) All classes in a file are part of the same package. 
3) If no package is specified, the classes in the file 
   go into a special unnamed package 
4) If no package is specified, a new package is created with 
   folder name of class and the class is put in this package. ","Only 1, 2 and 3","Only 1, 2 and 4",Only 4,Only 1 and 3,"Only 1, 2 and 3"
7,Which of the following is/are advantages of packages?,Packages avoid name clashes,"Classes, even though they are visible outside their package, can have fields visible to packages only","We can have hidden classes that are used by the packages, but not visible outside.",All of the above,All of the above
8,"Predict the output of following Java program
// Note static keyword after import.
import static java.lang.System.*;
   
class StaticImportDemo
{
   public static void main(String args[])
   {      
        out.println(""GeeksforGeeks"");
   }
}",Compiler Error,Runtime Error,GeeksforGeeks,None of the above,GeeksforGeeks
9,Which of the following is FALSE about abstract classes in Java,"If we derive an abstract class and do not implement all the abstract methods, then the derived class should also be marked as abstract using 'abstract' keyword",Abstract classes can have constructors,A class can be made abstract without any abstract method,A class can inherit from multiple abstract classes.,A class can inherit from multiple abstract classes.
10,"Which of the following is true about interfaces in java.

1) An interface can contain following type of members.
....public, static, final fields (i.e., constants) 
....default and static methods with bodies

2) An instance of interface can be created.

3) A class can implement multiple interfaces.

4) Many classes can implement the same interface.","1, 3 and 4","1, 2 and 4","2, 3 and 4","1, 2, 3 and 4","1, 3 and 4"
11,"abstract class demo
{
    public int a;
    demo()
    {
        a = 10;
    }
 
    abstract public void set();
     
    abstract final public void get();
 
}
 
class Test extends demo
{
 
    public void set(int a)
    {
        this.a = a;
    }
 
    final public void get()
    {
        System.out.println(""a = "" + a);
    }
 
    public static void main(String[] args)
    {
        Test obj = new Test();
        obj.set(20);
        obj.get();
    }
}",a = 10,a = 20,Compilation error,Runtime Error,Compilation error
12,"Predict the output of following Java program?
class Test {
  int i;
} 
class Main {
   public static void main(String args[]) { 
     Test t; 
     System.out.println(t.i); 
}  ",0,garbage value,compiler error,runtime error,
13,"Predict the output of following Java program
class Test {
  int i;
} 
class Main {
  public static void main(String args[]) { 
      Test t = new Test(); 
      System.out.println(t.i);
   } 
}",garbage value,0,compiler error,runtime error,
14,"class demo
{
    int a, b;
     
    demo()
    {
        a = 10;
        b = 20;
    }
     
    public void print()
    {
        System.out.println (""a = "" + a + "" b = "" + b + ""\n"");
    }
}
 
class Test
{
 
    public static void main(String[] args)
    {
        demo obj1 = new demo();
        demo obj2 = obj1;
 
        obj1.a += 1;
        obj1.b += 1;
 
        System.out.println (""values of obj1 : "");
        obj1.print();
        System.out.println (""values of obj2 : "");
        obj2.print();
 
    }
}",Compile error,"values of obj1: 
a = 11 b = 21
values of obj2: 
a = 11 b = 21","values of obj1: 
a = 11 b = 21
values of obj2: 
a = 10 b = 20","values of obj1: 
a = 11 b = 20
values of obj2: 
a = 10 b = 21","values of obj1: 
a = 11 b = 21
values of obj2: 
a = 11 b = 21"
15,"1. What is the type of variable ‘b’ and ‘d’ in the below snippet?
int a[], b;
int []c, d;",‘b’ and ‘d’ are int,‘b’ and ‘d’ are arrays of type int,‘b’ is int variable; ‘d’ is int array,‘d’ is int variable; ‘b’ is int array,‘b’ is int variable; ‘d’ is int array
16,Which of these is an incorrect array declaration?,int arr[] = new int[5] ;,int [] arr = new int[5] ;,"int arr[];
arr = new int[5];",int arr[] = int [5] new;,int arr[] = int [5] new;
17,"What will this code print?

int arr[] = new int [5];
System.out.print(arr);",0,value stored in arr[0].,0,Garbage value,Garbage value
18,"What is the output of below snippet?

Object[] names = new String[3];
names[0] = new Integer(0);",ArrayIndexOutOfBoundsException,ArrayStoreException,Compilation Error,Code runs successfully,ArrayStoreException
19,Generics does not work with?,Set,List,Tree,Array,Array
20,How to sort an array?, Array.sort(),Arrays.sort(),Collection.sort(),System.sort(),Arrays.sort()
21,Where is array stored in memory?,heap space, stack space,heap space and stack space,first generation memory,heap space
22,When does method overloading is determined?,At run time,At compile time, At coding time,At execution time, At compile time
23,Which concept of Java is a way of converting real world objects in terms of class?,Polymorphism,Encapsulation,Abstraction,Inheritance,Abstraction
24,Which concept of Java is achieved by combining methods and attribute into a class?, Encapsulation,Inheritance, Polymorphism,Abstration,Encapsulation
25,What is it called if an object has its own lifecycle and there is no owner?,Aggregation,Composition,Encapsulation,Association,Association
26,What is it called where object has its own lifecycle and child object cannot belong to another parent object?,Aggregation,Compostion,Encapsulation, Association,Aggregation
27,What is it called where child object gets killed if parent object is killed?,Aggregation,Composition,Encapsulation,Association,Composition
28,Which of these keywords is used to make a class?,class,struct, int,none of the mentioned,class
29,Which of the following is a valid declaration of an object of class Box?,Box obj = new Box();, Box obj = new Box;,obj = new Box();,new Box obj;,Box obj = new Box();
30,Which of these operators is used to allocate memory for an object?,malloc,alloc,new,give, new
31,Which of these statement is incorrect?,Every class must contain a main() method,Applets do not require a main() method at all,There can be only one main() method in a program,main() method must be made public,Every class must contain a main() method
32, Which of the following statements is correct?,Public method is accessible to all other classes in the hierarchy,Public method is accessible only to subclasses of its parent class,Public method can only be called by object of its class,Public method can be accessed by calling object of the public class,Public method is accessible to all other classes in the hierarchy
33,"class box 
    {
        int width;
        int height;
        int length;
    } 
    class mainclass 
    {
        public static void main(String args[]) 
        {        
            box obj1 = new box();
            box obj2 = new box();
            obj1.height = 1;
            obj1.length = 2;
            obj1.width = 1;
            obj2 = obj1;
            System.out.println(obj2.height);
        } 
    }",1,2, Runtime error,Garbage valueGarbage value,1
34,"class box 
   {
        int width;
        int height;
        int length;
   } 
    class mainclass 
    {
        public static void main(String args[]) 
        {        
            box obj = new box();
            System.out.println(obj);
        } 
    }",0,1,Runtime error,classname@hashcode in hexadecimal form,classname@hashcode in hexadecimal form
35,What is the return type of a method that does not returns any value?,int,float,void,double,void
36,What is the process of defining more than one method in a class differentiated by method signature?,Function overriding,Function overloading,Function doubling,None of the mentioned,Function overloading
37,Which of the following is a method having same name as that of it’s class?,finalize,delete,class,constructor,constructor
38,Which method can be defined only once in a program?,main method, finalize method,static method,private method, main method
39,Which of these statement is incorrect?,All object of a class are allotted memory for the all the variables defined in the class,If a function is defined public it can be accessed by object of other class by inheritation,main() method must be made public,All object of a class are allotted memory for the methods defined in the class,All object of a class are allotted memory for the methods defined in the class
40," class equality 
    {
        int x;
        int y;
        boolean isequal()
        {
            return(x == y);  
        } 
    }    
    class Output 
    {
        public static void main(String args[])
        {
            equality obj = new equality();
            obj.x = 5;
            obj.y = 5;
            System.out.println(obj.isequal());
        } 
    }",FALSE, true,0,1,TRUE
41,Which of these is not abstract?,Thread,AbstractList,List, None of the Mentioned,Thread
42,If a class inheriting an abstract class does not define all of its function then it will be known as?,Abstract,A simple class,Static class,None of the mentioned,Abstract
43," What is the output of this program?

    class A 
    {
        public int i;
        private int j;
    }    
    class B extends A 
    {
        void display() 
        {
            super.j = super.i + 1;
            System.out.println(super.i + "" "" + super.j);
        }
    }    
    class inheritance 
   {
        public static void main(String args[])
        {
            B obj = new B();
            obj.i=1;
            obj.j=2;   
            obj.display();     
        }
   }",2 2,3 3,Runtime Error,Compilation Error,Compilation Error
44,"What is the output of this program?

    class A 
    {
        public int i;
        public int j;
        A() 
       {
            i = 1;
            j = 2;
        }
    }    
    class B extends A 
    {
        int a;
        B() 
        {
            super();
        } 
    }    
    class super_use 
    {
        public static void main(String args[])
        {
            B obj = new B();
            System.out.println(obj.i + "" "" + obj.j)     
        }
   }",1 2,2 1,Runtime Error,Compilation Error,1 2
45,"What is the output of this program?

    abstract class A 
    {
        int i;
        abstract void display();
    }    
    class B extends A 
    {
        int j;
        void display() 
        {
            System.out.println(j);
        }
    }    
    class Abstract_demo 
    {
        public static void main(String args[])
        {
            B obj = new B();
            obj.j=2;
            obj.display();    
        }
   }",0,2, Runtime Error,Compilation Error,2
46," What is the output of this program?

    class A 
    {
        int i;
        void display() 
        {
            System.out.println(i);
        }
    }    
    class B extends A 
    {
        int j;
        void display() 
        {
            System.out.println(j);
        }
    }    
    class method_overriding 
    {
        public static void main(String args[])
        {
            B obj = new B();
            obj.i=1;
            obj.j=2;   
            obj.display();     
        }
   }",0,1,2,Compilation Error,2
